Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S39	SRR24917993	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Litovko village (Kh-1)	49.2540051	135.1847371	Kh-1	Leaf	2022	Summer	V. amurensis
S40	SRR24917971	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Litovko village (Kh-1)	49.2540051	135.1847371	Kh-1	Leaf	2022	Summer	V. amurensis
S41	SRR24917968	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Litovko village (Kh-1)	49.2540051	135.1847371	Kh-1	Stem	2022	Summer	V. amurensis
S42	SRR24917966	PRJNA980748	Litovko village, the southern Khabarovsk region of the Russian Far East (49.2540051, 135.1847371)	Litovko village (Kh-1)	49.2540051	135.1847371	Kh-1	Stem	2022	Summer	V. amurensis
S43	SRR24917964	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Silinsky forest (Kh-2)	50.586259	137.0172029	Kh-2	Leaf	2022	Summer	V. amurensis
S44	SRR24918062	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Silinsky forest (Kh-2)	50.586259	137.0172029	Kh-2	Leaf	2022	Summer	V. amurensis
S45	SRR24918060	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Silinsky forest (Kh-2)	50.586259	137.0172029	Kh-2	Stem	2022	Summer	V. amurensis
S46	SRR24918057	PRJNA980748	Silinsky forest, the southern Khabarovsk region of the Russian Far East (50.586259, 137.0172029)	Silinsky forest (Kh-2)	50.586259	137.0172029	Kh-2	Stem	2022	Summer	V. amurensis
S47	SRR24917989	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-Va	Leaf	2022	Summer	V. amurensis
S48	SRR24918036	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-Va	Leaf	2022	Summer	V. amurensis
